text,user_id,risk_score,risk_level,confidence,language,violations,threats,self_rag
내부 회계 자료를 개인 이메일로 전송했습니다.,user_002,0.0,LOW,0.640682246514729,ko,,,Yes
퇴사 예정 직원이 회사 서버에서 대량 데이터를 다운로드했습니다.,user_003,100.0,CRITICAL,0.9018542528145957,ko,POL-003,"내부자 위협 - 퇴사,대량 데이터 처리",Yes
고객 계약서를 외부 파트너에게 메신저로 공유했습니다.,user_004,0.0,LOW,0.6430799990892411,ko,,,Yes
신제품 디자인 도면을 개인 클라우드에 업로드했습니다.,user_005,38.0,MEDIUM,0.6410061963399252,ko,,신제품 정보,Yes
회사 정책 문서를 외부에 유출하지 않도록 검토했습니다.,user_001,0.0,LOW,0.6350860327482224,ko,,,Yes
R&D 실험 데이터 일부를 외부 USB에 저장했습니다.,user_002,100.0,CRITICAL,1.0,ko,"POL-030,POL-001","R&D 자료 유출,실험 데이터 유출",Yes
영업 고객 리스트를 개인 노트북으로 복사했습니다.,user_003,0.0,LOW,0.6351062148809433,ko,,,Yes
보안 승인 없는 소프트웨어를 회사 컴퓨터에 설치했습니다.,user_004,10.0,LOW,0.0,unknown,,,Yes
팀 회의록을 외부 협력사와 공유했습니다.,user_005,0.0,LOW,0.6172143161296845,ko,,,Yes
프로젝트 일정 관리 파일을 개인 이메일로 보냈습니다.,user_001,10.0,LOW,0.0,unknown,,,Yes
I uploaded the internal project plan to my personal Google Drive.,user_002,35.0,MEDIUM,0.6540034396104648,en,,Unauthorized cloud - Google Drive,Yes
An employee tried to download large volumes of confidential data before resignation.,user_003,100.0,CRITICAL,0.9178685933051349,en,POL-003,"Insider threat - resignation,Mass download attempt,Confidential information leak",Yes
The client information file was sent via Slack to an external partner.,user_004,48.0,HIGH,0.6870396789902966,en,,"Partner company security,Slack unauthorized use",Yes
Shared the company’s R&D strategy document without NDA.,user_005,100.0,CRITICAL,1.0,en,"POL-030,POL-001","R&D materials leak,NDA violation",Yes
I sent the financial statement draft to my private email for review.,user_001,100.0,CRITICAL,1.0,en,"POL-026,POL-007,POL-002","Email information leak,Financial statement leak",Yes
Installed unauthorized software on the company-issued laptop.,user_002,56.0,HIGH,1.0,en,"POL-005,POL-029",Unauthorized access,Yes
The marketing data was accidentally shared in a public folder.,user_003,0.0,LOW,0.6799959492053801,en,,,Yes
Exported source code files to a USB drive without permission.,user_004,100.0,CRITICAL,1.0,en,"POL-013,POL-003","USB external extraction risk,USB drive usage,Permission violation,Source code leak,Source leak,Code leak",Yes
Shared sensitive contract details over a personal messaging app.,user_005,35.0,MEDIUM,0.6697124416959971,en,,Contract leak,Yes
Created a presentation summarizing the company’s internal roadmap.,user_001,10.0,LOW,0.0,unknown,,,Yes
